,循环号,放电容量/Ah,矢量
0,0,0.9544163589889259,"[0.08333333333333333, 0, 0, 0, 0, 0.9544163589889259]"
1,1,0.9544163589889259,"[0, 1.0805555555555555, 1.0, 1.0013888888888889, 1.0, 0.9544163589889259]"
2,2,0.9704629366657223,"[0, 1.0697222222222222, 1.0, 1.0022222222222221, 1.0, 0.9704629366657223]"
3,3,0.994603805737011,"[0, 1.058888888888889, 1.0, 1.0038888888888888, 1.0, 0.994603805737011]"
4,4,1.0,"[0, 1.0555555555555556, 1.0, 1.0044444444444445, 1.0, 1.0]"
5,5,0.9226072138597026,"[0, 1.0797222222222222, 1.0, 0.998611111111111, 1.0, 0.9226072138597026]"
6,6,0.9501562056234043,"[0, 1.07, 1.0, 1.001111111111111, 1.0, 0.9501562056234043]"
7,7,0.9504402158477703,"[0, 1.0680555555555555, 1.0, 1.001111111111111, 1.0, 0.9504402158477703]"
8,8,0.964924737290545,"[0, 1.0680555555555555, 1.0, 1.0019444444444445, 1.0, 0.964924737290545]"
9,9,0.9872195399034389,"[0, 1.057777777777778, 1.0, 1.003611111111111, 1.0, 0.9872195399034389]"
10,10,0.9921897188298807,"[0, 1.0547222222222223, 1.0, 1.0038888888888888, 1.0, 0.9921897188298807]"
11,11,0.9130928713433732,"[0, 1.0666666666666667, 1.0, 0.9980555555555555, 1.0, 0.9130928713433732]"
12,12,0.9227492189718838,"[0, 1.0788888888888888, 1.0, 0.9988888888888888, 1.0, 0.9227492189718838]"
13,13,0.9204771371769382,"[0, 1.0766666666666667, 1.0, 0.998611111111111, 1.0, 0.9204771371769382]"
14,14,0.9566884407838714,"[0, 1.0730555555555557, 1.0, 1.0016666666666667, 1.0, 0.9566884407838714]"
15,15,0.9768531667140046,"[0, 1.0575, 1.0, 1.0030555555555556, 1.0, 0.9768531667140046]"
16,16,0.9809713149673414,"[0, 1.0555555555555556, 1.0, 1.0033333333333334, 1.0, 0.9809713149673414]"
17,17,0.9128088611190037,"[0, 1.0602777777777779, 1.0, 0.9980555555555555, 1.0, 0.9128088611190037]"
18,18,0.9065606361829026,"[0, 1.0825, 1.0, 0.9977777777777778, 1.0, 0.9065606361829026]"
19,19,0.9118148253337139,"[0, 1.0772222222222223, 1.0, 0.9980555555555555, 1.0, 0.9118148253337139]"
20,20,0.9102527690996887,"[0, 1.0769444444444445, 1.0, 0.9980555555555555, 1.0, 0.9102527690996887]"
21,21,0.9037205339392251,"[0, 1.0777777777777777, 1.0, 0.9974999999999999, 1.0, 0.9037205339392251]"
22,22,0.923459244532804,"[0, 1.0777777777777777, 1.0, 0.9994444444444444, 1.0, 0.923459244532804]"
23,23,0.9297074694689016,"[0, 1.0669444444444445, 1.0, 0.9997222222222222, 1.0, 0.9297074694689016]"
24,24,0.9280034081226916,"[0, 1.0666666666666667, 1.0, 0.9997222222222222, 1.0, 0.9280034081226916]"
25,25,0.9305595001420066,"[0, 1.0688888888888888, 1.0, 1.0, 1.0, 0.9305595001420066]"
26,26,0.9568304458960526,"[0, 1.06, 1.0, 1.0016666666666667, 1.0, 0.9568304458960526]"
27,27,0.9620846350468639,"[0, 1.0566666666666666, 1.0, 1.0022222222222221, 1.0, 0.9620846350468639]"
28,28,0.9150809429139457,"[0, 1.0555555555555556, 1.0, 0.9983333333333333, 1.0, 0.9150809429139457]"
29,29,0.9074126668560112,"[0, 1.0802777777777777, 1.0, 0.998611111111111, 1.0, 0.9074126668560112]"
30,30,0.9231752343084381,"[0, 1.0686111111111112, 1.0, 0.9994444444444444, 1.0, 0.9231752343084381]"
31,31,0.9298494745810864,"[0, 1.0677777777777777, 1.0, 1.0, 1.0, 0.9298494745810864]"
32,32,0.9564044305595019,"[0, 1.057777777777778, 1.0, 1.0016666666666667, 1.0, 0.9564044305595019]"
33,33,0.9612326043737589,"[0, 1.0541666666666667, 1.0, 1.0022222222222221, 1.0, 0.9612326043737589]"
34,34,0.9389378017608685,"[0, 1.0525, 1.0, 1.0008333333333332, 1.0, 0.9389378017608685]"
35,35,0.8936381709741568,"[0, 1.0783333333333334, 1.0, 0.9972222222222221, 1.0, 0.8936381709741568]"
36,36,0.9071286566316417,"[0, 1.0711111111111111, 1.0, 0.998611111111111, 1.0, 0.9071286566316417]"
37,37,0.9119568304458987,"[0, 1.0669444444444445, 1.0, 0.9988888888888888, 1.0, 0.9119568304458987]"
38,38,0.9194831013916556,"[0, 1.0675, 1.0, 0.9991666666666666, 1.0, 0.9194831013916556]"
39,39,0.9487361545015638,"[0, 1.0575, 1.0, 1.0013888888888889, 1.0, 0.9487361545015638]"
40,40,0.9057086055098011,"[0, 1.053611111111111, 1.0, 0.9977777777777778, 1.0, 0.9057086055098011]"
41,41,0.9038625390514099,"[0, 1.0747222222222221, 1.0, 0.9983333333333333, 1.0, 0.9038625390514099]"
42,42,0.9079806873047467,"[0, 1.0675, 1.0, 0.998611111111111, 1.0, 0.9079806873047467]"
43,43,0.9084067026412974,"[0, 1.0669444444444445, 1.0, 0.998611111111111, 1.0, 0.9084067026412974]"
44,44,0.9065606361829026,"[0, 1.0669444444444445, 1.0, 0.998611111111111, 1.0, 0.9065606361829026]"
45,45,0.9062766259585366,"[0, 1.0663888888888888, 1.0, 0.9983333333333333, 1.0, 0.9062766259585366]"
46,46,0.9041465492757759,"[0, 1.0666666666666667, 1.0, 0.9983333333333333, 1.0, 0.9041465492757759]"
47,47,0.9044305595001454,"[0, 1.0669444444444445, 1.0, 0.9983333333333333, 1.0, 0.9044305595001454]"
48,48,0.8899460380573707,"[0, 1.0661111111111112, 1.0, 0.9974999999999999, 1.0, 0.8899460380573707]"
49,49,0.9167850042601557,"[0, 1.0708333333333333, 1.0, 0.9994444444444444, 1.0, 0.9167850042601557]"
50,50,0.9460380573700675,"[0, 1.0525, 1.0, 1.0013888888888889, 1.0, 0.9460380573700675]"
51,51,0.9537063334280056,"[0, 1.0491666666666668, 1.0, 1.0019444444444445, 1.0, 0.9537063334280056]"
52,52,0.8761715421755198,"[0, 1.0680555555555555, 1.0, 0.9961111111111111, 1.0, 0.8761715421755198]"
53,53,0.8703493325759766,"[0, 1.0788888888888888, 1.0, 0.9963888888888889, 1.0, 0.8703493325759766]"
54,54,0.8805737006532262,"[0, 1.0705555555555555, 1.0, 0.9969444444444444, 1.0, 0.8805737006532262]"
55,55,0.8807157057654074,"[0, 1.0716666666666665, 1.0, 0.9969444444444444, 1.0, 0.8807157057654074]"
56,56,0.9339676228344231,"[0, 1.0558333333333334, 1.0, 1.0008333333333332, 1.0, 0.9339676228344231]"
57,57,0.9444760011360422,"[0, 1.0491666666666668, 1.0, 1.0013888888888889, 1.0, 0.9444760011360422]"
58,58,0.9147969326895797,"[0, 1.0472222222222223, 1.0, 0.998611111111111, 1.0, 0.9147969326895797]"
59,59,0.8588469184890677,"[0, 1.0755555555555556, 1.0, 0.995, 1.0, 0.8588469184890677]"
60,60,0.8720533939221831,"[0, 1.0747222222222221, 1.0, 0.9963888888888889, 1.0, 0.8720533939221831]"
61,61,0.9088327179778481,"[0, 1.0702777777777777, 1.0, 0.9988888888888888, 1.0, 0.9088327179778481]"
62,62,0.9372337404146585,"[0, 1.0497222222222222, 1.0, 1.0008333333333332, 1.0, 0.9372337404146585]"
63,63,0.9441919909116763,"[0, 1.046388888888889, 1.0, 1.0013888888888889, 1.0, 0.9441919909116763]"
64,64,0.918631070718547,"[0, 1.0450000000000002, 1.0, 0.9997222222222222, 1.0, 0.918631070718547]"
65,65,0.8524566884407854,"[0, 1.0755555555555556, 1.0, 0.9944444444444444, 1.0, 0.8524566884407854]"
66,66,0.8578528827037779,"[0, 1.0783333333333334, 1.0, 0.9955555555555555, 1.0, 0.8578528827037779]"
67,67,0.8694973019028716,"[0, 1.0683333333333334, 1.0, 0.9963888888888889, 1.0, 0.8694973019028716]"
68,68,0.8649531383129805,"[0, 1.0691666666666666, 1.0, 0.9961111111111111, 1.0, 0.8649531383129805]"
69,69,0.8614030105083827,"[0, 1.0697222222222222, 1.0, 0.9958333333333332, 1.0, 0.8614030105083827]"
70,70,0.8646691280886145,"[0, 1.07, 1.0, 0.9961111111111111, 1.0, 0.8646691280886145]"
71,71,0.867225220107926,"[0, 1.0677777777777777, 1.0, 0.9961111111111111, 1.0, 0.867225220107926]"
72,72,0.862397046293669,"[0, 1.0691666666666666, 1.0, 0.9958333333333332, 1.0, 0.862397046293669]"
73,73,0.9007384265833593,"[0, 1.0669444444444445, 1.0, 0.998611111111111, 1.0, 0.9007384265833593]"
74,74,0.9231752343084381,"[0, 1.0491666666666668, 1.0, 1.0, 1.0, 0.9231752343084381]"
75,75,0.8801476853166754,"[0, 1.0461111111111112, 1.0, 0.9961111111111111, 1.0, 0.8801476853166754]"
76,76,0.8435103663731915,"[0, 1.0766666666666667, 1.0, 0.9947222222222222, 1.0, 0.8435103663731915]"
77,77,0.8528827037773361,"[0, 1.07, 1.0, 0.9952777777777777, 1.0, 0.8528827037773361]"
78,78,0.8528827037773361,"[0, 1.0702777777777777, 1.0, 0.9952777777777777, 1.0, 0.8528827037773361]"
79,79,0.8838398182334579,"[0, 1.0694444444444444, 1.0, 0.9974999999999999, 1.0, 0.8838398182334579]"
80,80,0.9138028969042935,"[0, 1.05, 1.0, 0.9994444444444444, 1.0, 0.9138028969042935]"
81,81,0.9163589889236015,"[0, 1.0469444444444445, 1.0, 0.9997222222222222, 1.0, 0.9163589889236015]"
82,82,0.8338540187446775,"[0, 1.0744444444444445, 1.0, 0.9941666666666666, 1.0, 0.8338540187446775]"
83,83,0.837262141437094,"[0, 1.0725, 1.0, 0.9944444444444444, 1.0, 0.837262141437094]"
84,84,0.8339960238568622,"[0, 1.0741666666666667, 1.0, 0.9941666666666666, 1.0, 0.8339960238568622]"
85,85,0.8614030105083827,"[0, 1.071388888888889, 1.0, 0.9958333333333332, 1.0, 0.8614030105083827]"
86,86,0.8988923601249681,"[0, 1.0533333333333335, 1.0, 0.998611111111111, 1.0, 0.8988923601249681]"
87,87,0.8659471740982703,"[0, 1.0480555555555557, 1.0, 0.9952777777777777, 1.0, 0.8659471740982703]"
88,88,0.8325759727350217,"[0, 1.0755555555555556, 1.0, 0.9938888888888888, 1.0, 0.8325759727350217]"
89,89,0.8466344788412385,"[0, 1.0691666666666666, 1.0, 0.995, 1.0, 0.8466344788412385]"
90,90,0.8327179778472029,"[0, 1.0697222222222222, 1.0, 0.9936111111111111, 1.0, 0.8327179778472029]"
91,91,0.83925021300767,"[0, 1.0702777777777777, 1.0, 0.9944444444444444, 1.0, 0.83925021300767]"
92,92,0.8354160749787027,"[0, 1.0702777777777777, 1.0, 0.9944444444444444, 1.0, 0.8354160749787027]"
93,93,0.8378301618858295,"[0, 1.0686111111111112, 1.0, 0.9944444444444444, 1.0, 0.8378301618858295]"
94,94,0.8395342232320395,"[0, 1.0694444444444444, 1.0, 0.9947222222222222, 1.0, 0.8395342232320395]"
95,95,0.8362681056518078,"[0, 1.0680555555555555, 1.0, 0.9944444444444444, 1.0, 0.8362681056518078]"
96,96,0.8334280034081232,"[0, 1.0691666666666666, 1.0, 0.9941666666666666, 1.0, 0.8334280034081232]"
97,97,0.8477705197387131,"[0, 1.0677777777777777, 1.0, 0.995, 1.0, 0.8477705197387131]"
98,98,0.8859698949162187,"[0, 1.0533333333333335, 1.0, 0.9977777777777778, 1.0, 0.8859698949162187]"
99,99,0.8957682476569175,"[0, 1.0480555555555557, 1.0, 0.998611111111111, 1.0, 0.8957682476569175]"
100,100,0.9003124112468086,"[0, 1.0461111111111112, 1.0, 0.9988888888888888, 1.0, 0.9003124112468086]"
101,101,0.9027264981539354,"[0, 1.0450000000000002, 1.0, 0.9988888888888888, 1.0, 0.9027264981539354]"
102,102,0.9045725646123302,"[0, 1.0441666666666667, 1.0, 0.9991666666666666, 1.0, 0.9045725646123302]"
103,103,0.9058506106219859,"[0, 1.0430555555555556, 1.0, 0.9991666666666666, 1.0, 0.9058506106219859]"
104,104,0.8973303038909428,"[0, 1.0425000000000002, 1.0, 0.9991666666666666, 1.0, 0.8973303038909428]"
105,105,0.894632206759443,"[0, 1.0419444444444446, 1.0, 0.9991666666666666, 1.0, 0.894632206759443]"
106,106,0.8524566884407854,"[0, 1.0411111111111113, 1.0, 0.9952777777777777, 1.0, 0.8524566884407854]"
107,107,0.8054529963078707,"[0, 1.0755555555555556, 1.0, 0.9919444444444444, 1.0, 0.8054529963078707]"
108,108,0.807299062766262,"[0, 1.076111111111111, 1.0, 0.9922222222222221, 1.0, 0.807299062766262]"
109,109,0.8811417211019617,"[0, 1.0525, 1.0, 0.9974999999999999, 1.0, 0.8811417211019617]"
110,110,0.887247940925878,"[0, 1.0455555555555556, 1.0, 0.9980555555555555, 1.0, 0.887247940925878]"
111,111,0.8357000852030687,"[0, 1.0444444444444445, 1.0, 0.9936111111111111, 1.0, 0.8357000852030687]"
112,112,0.7992047713717731,"[0, 1.0747222222222221, 1.0, 0.9913888888888889, 1.0, 0.7992047713717731]"
113,113,0.8055950014200519,"[0, 1.0752777777777778, 1.0, 0.9924999999999999, 1.0, 0.8055950014200519]"
114,114,0.8097131496733887,"[0, 1.0694444444444444, 1.0, 0.9927777777777778, 1.0, 0.8097131496733887]"
115,115,0.8074410678784467,"[0, 1.0686111111111112, 1.0, 0.9924999999999999, 1.0, 0.8074410678784467]"
116,116,0.8048849758591352,"[0, 1.07, 1.0, 0.9924999999999999, 1.0, 0.8048849758591352]"
117,117,0.8227776199943229,"[0, 1.0680555555555555, 1.0, 0.9936111111111111, 1.0, 0.8227776199943229]"
118,118,0.810139165009943,"[0, 1.065, 1.0, 0.9927777777777778, 1.0, 0.810139165009943]"
119,119,0.8091451292246568,"[0, 1.0661111111111112, 1.0, 0.9927777777777778, 1.0, 0.8091451292246568]"
120,120,0.8456404430559523,"[0, 1.0644444444444445, 1.0, 0.9952777777777777, 1.0, 0.8456404430559523]"
121,121,0.8670832149957448,"[0, 1.0472222222222223, 1.0, 0.9969444444444444, 1.0, 0.8670832149957448]"
122,122,0.8738994603805743,"[0, 1.0450000000000002, 1.0, 0.9972222222222221, 1.0, 0.8738994603805743]"
123,123,0.787844362397049,"[0, 1.0686111111111112, 1.0, 0.9908333333333332, 1.0, 0.787844362397049]"
124,124,0.7948026128940668,"[0, 1.0741666666666667, 1.0, 0.9919444444444444, 1.0, 0.7948026128940668]"
125,125,0.7990627662595884,"[0, 1.0686111111111112, 1.0, 0.9922222222222221, 1.0, 0.7990627662595884]"
126,126,0.8473445044021588,"[0, 1.057777777777778, 1.0, 0.9955555555555555, 1.0, 0.8473445044021588]"
127,127,0.8605509798352777,"[0, 1.0475, 1.0, 0.9963888888888889, 1.0, 0.8605509798352777]"
128,128,0.866089179210455,"[0, 1.0450000000000002, 1.0, 0.9966666666666666, 1.0, 0.866089179210455]"
129,129,0.8222095995455874,"[0, 1.0605555555555557, 1.0, 0.9936111111111111, 1.0, 0.8222095995455874]"
130,130,0.8598409542743575,"[0, 1.0483333333333333, 1.0, 0.9963888888888889, 1.0, 0.8598409542743575]"
131,131,0.8658051689860891,"[0, 1.043888888888889, 1.0, 0.9966666666666666, 1.0, 0.8658051689860891]"
132,132,0.8686452712297665,"[0, 1.0427777777777778, 1.0, 0.9969444444444444, 1.0, 0.8686452712297665]"
133,133,0.8692132916785056,"[0, 1.0416666666666667, 1.0, 0.9969444444444444, 1.0, 0.8692132916785056]"
134,134,0.8667992047713717,"[0, 1.0411111111111113, 1.0, 0.9972222222222221, 1.0, 0.8667992047713717]"
135,135,0.863249076966774,"[0, 1.0402777777777779, 1.0, 0.9966666666666666, 1.0, 0.863249076966774]"
136,136,0.7764839534223249,"[0, 1.0683333333333334, 1.0, 0.9902777777777777, 1.0, 0.7764839534223249]"
137,137,0.7682476569156513,"[0, 1.0741666666666667, 1.0, 0.9897222222222222, 1.0, 0.7682476569156513]"
138,138,0.7611474013064488,"[0, 1.075, 1.0, 0.9891666666666666, 1.0, 0.7611474013064488]"
139,139,0.7750639023004844,"[0, 1.0727777777777778, 1.0, 0.9908333333333332, 1.0, 0.7750639023004844]"
140,140,0.7764839534223249,"[0, 1.0683333333333334, 1.0, 0.9908333333333332, 1.0, 0.7764839534223249]"
141,141,0.7730758307299084,"[0, 1.0691666666666666, 1.0, 0.9905555555555555, 1.0, 0.7730758307299084]"
142,142,0.7716557796080679,"[0, 1.0688888888888888, 1.0, 0.9905555555555555, 1.0, 0.7716557796080679]"
143,143,0.7710877591593324,"[0, 1.0691666666666666, 1.0, 0.9905555555555555, 1.0, 0.7710877591593324]"
144,144,0.8165293950582253,"[0, 1.0572222222222223, 1.0, 0.9936111111111111, 1.0, 0.8165293950582253]"
145,145,0.8239136608917939,"[0, 1.0519444444444446, 1.0, 0.9938888888888888, 1.0, 0.8239136608917939]"
146,146,0.8244816813405293,"[0, 1.051111111111111, 1.0, 0.9941666666666666, 1.0, 0.8244816813405293]"
147,147,0.8239136608917939,"[0, 1.0508333333333333, 1.0, 0.9941666666666666, 1.0, 0.8239136608917939]"
148,148,0.8217835842090331,"[0, 1.0497222222222222, 1.0, 0.9941666666666666, 1.0, 0.8217835842090331]"
149,149,0.8190854870775368,"[0, 1.0491666666666668, 1.0, 0.9938888888888888, 1.0, 0.8190854870775368]"
150,150,0.8239136608917939,"[0, 1.048888888888889, 1.0, 0.9941666666666666, 1.0, 0.8239136608917939]"
151,151,0.8185174666288013,"[0, 1.0486111111111112, 1.0, 0.9938888888888888, 1.0, 0.8185174666288013]"
152,152,0.8220675944334026,"[0, 1.0486111111111112, 1.0, 0.9941666666666666, 1.0, 0.8220675944334026]"
153,153,0.7560352172678222,"[0, 1.0683333333333334, 1.0, 0.9888888888888888, 1.0, 0.7560352172678222]"
154,154,0.7438227776199966,"[0, 1.0755555555555556, 1.0, 0.9883333333333333, 1.0, 0.7438227776199966]"
155,155,0.758733314399322,"[0, 1.0688888888888888, 1.0, 0.9897222222222222, 1.0, 0.758733314399322]"
156,156,0.7811701221244007,"[0, 1.0677777777777777, 1.0, 0.9913888888888889, 1.0, 0.7811701221244007]"
157,157,0.806163021868791,"[0, 1.0527777777777778, 1.0, 0.9930555555555555, 1.0, 0.806163021868791]"
158,158,0.8094291394490227,"[0, 1.051111111111111, 1.0, 0.9930555555555555, 1.0, 0.8094291394490227]"
159,159,0.6819085487077565,"[0, 1.085, 1.0, 0.985, 1.0, 0.6819085487077565]"
160,160,0.729622266401595,"[0, 1.0547222222222223, 1.0, 0.9880555555555555, 1.0, 0.729622266401595]"
161,161,0.7425447316103408,"[0, 1.0561111111111112, 1.0, 0.9886111111111111, 1.0, 0.7425447316103408]"
162,162,0.7480829309855181,"[0, 1.0569444444444445, 1.0, 0.9888888888888888, 1.0, 0.7480829309855181]"
163,163,0.7517750639023042,"[0, 1.0575, 1.0, 0.9891666666666666, 1.0, 0.7517750639023042]"
164,164,0.7537631354728802,"[0, 1.057777777777778, 1.0, 0.9894444444444443, 1.0, 0.7537631354728802]"
165,165,0.755041181482536,"[0, 1.0580555555555555, 1.0, 0.9894444444444443, 1.0, 0.755041181482536]"
166,166,0.7537631354728802,"[0, 1.057777777777778, 1.0, 0.9894444444444443, 1.0, 0.7537631354728802]"
167,167,0.756745242828746,"[0, 1.0583333333333333, 1.0, 0.9894444444444443, 1.0, 0.756745242828746]"
168,168,0.7537631354728802,"[0, 1.0591666666666668, 1.0, 0.9894444444444443, 1.0, 0.7537631354728802]"
169,169,0.7541891508094309,"[0, 1.0586111111111112, 1.0, 0.9894444444444443, 1.0, 0.7541891508094309]"
170,170,0.7502130076682789,"[0, 1.058888888888889, 1.0, 0.9883333333333333, 1.0, 0.7502130076682789]"
171,171,0.75305310991196,"[0, 1.0605555555555557, 1.0, 0.9894444444444443, 1.0, 0.75305310991196]"
172,172,0.7520590741266702,"[0, 1.058888888888889, 1.0, 0.9891666666666666, 1.0, 0.7520590741266702]"
173,173,0.7546151661459852,"[0, 1.0583333333333333, 1.0, 0.9894444444444443, 1.0, 0.7546151661459852]"
174,174,0.7489349616586232,"[0, 1.0586111111111112, 1.0, 0.9891666666666666, 1.0, 0.7489349616586232]"
175,175,0.7418347060494206,"[0, 1.061388888888889, 1.0, 0.9886111111111111, 1.0, 0.7418347060494206]"
176,176,0.7361545015620585,"[0, 1.0688888888888888, 1.0, 0.9883333333333333, 1.0, 0.7361545015620585]"
177,177,0.7459528543027574,"[0, 1.0608333333333333, 1.0, 0.9888888888888888, 1.0, 0.7459528543027574]"
178,178,0.7485089463220689,"[0, 1.0597222222222222, 1.0, 0.9891666666666666, 1.0, 0.7485089463220689]"
179,179,0.7480829309855181,"[0, 1.0594444444444444, 1.0, 0.9888888888888888, 1.0, 0.7480829309855181]"
180,180,0.7477989207611486,"[0, 1.0594444444444444, 1.0, 0.9888888888888888, 1.0, 0.7477989207611486]"
181,181,0.7468048849758624,"[0, 1.0594444444444444, 1.0, 0.9888888888888888, 1.0, 0.7468048849758624]"
182,182,0.7455268389662066,"[0, 1.0597222222222222, 1.0, 0.9888888888888888, 1.0, 0.7455268389662066]"
183,183,0.7468048849758624,"[0, 1.0594444444444444, 1.0, 0.9888888888888888, 1.0, 0.7468048849758624]"
184,184,0.7479409258733334,"[0, 1.058888888888889, 1.0, 0.9888888888888888, 1.0, 0.7479409258733334]"
185,185,0.7482249360977029,"[0, 1.0586111111111112, 1.0, 0.9891666666666666, 1.0, 0.7482249360977029]"
186,186,0.7479409258733334,"[0, 1.0583333333333333, 1.0, 0.9888888888888888, 1.0, 0.7479409258733334]"
187,187,0.739562624254475,"[0, 1.0591666666666668, 1.0, 0.9886111111111111, 1.0, 0.739562624254475]"
188,188,0.7280602101675697,"[0, 1.0677777777777777, 1.0, 0.9877777777777778, 1.0, 0.7280602101675697]"
189,189,0.7301902868503269,"[0, 1.0594444444444444, 1.0, 0.9883333333333333, 1.0, 0.7301902868503269]"
190,190,0.7245100823629684,"[0, 1.0630555555555556, 1.0, 0.9877777777777778, 1.0, 0.7245100823629684]"
191,191,0.7211019596705519,"[0, 1.0627777777777778, 1.0, 0.9877777777777778, 1.0, 0.7211019596705519]"
192,192,0.7216699801192874,"[0, 1.0641666666666667, 1.0, 0.9877777777777778, 1.0, 0.7216699801192874]"
193,193,0.7184038625390556,"[0, 1.0630555555555556, 1.0, 0.9874999999999999, 1.0, 0.7184038625390556]"
194,194,0.7451008236296524,"[0, 1.0569444444444445, 1.0, 0.9891666666666666, 1.0, 0.7451008236296524]"
195,195,0.7443907980687321,"[0, 1.055, 1.0, 0.9894444444444443, 1.0, 0.7443907980687321]"
196,196,0.70278330019881,"[0, 1.0686111111111112, 1.0, 0.9866666666666666, 1.0, 0.70278330019881]"
197,197,0.7151377449588203,"[0, 1.063611111111111, 1.0, 0.9872222222222222, 1.0, 0.7151377449588203]"
198,198,0.7382845782448193,"[0, 1.057777777777778, 1.0, 0.9891666666666666, 1.0, 0.7382845782448193]"
199,199,0.7431127520590763,"[0, 1.053611111111111, 1.0, 0.9894444444444443, 1.0, 0.7431127520590763]"
200,200,0.7042033513206505,"[0, 1.0705555555555555, 1.0, 0.9866666666666666, 1.0, 0.7042033513206505]"
201,201,0.7121556376029545,"[0, 1.0638888888888889, 1.0, 0.9872222222222222, 1.0, 0.7121556376029545]"
202,202,0.7127236580516936,"[0, 1.063611111111111, 1.0, 0.9872222222222222, 1.0, 0.7127236580516936]"
203,203,0.7154217551831898,"[0, 1.0625, 1.0, 0.9872222222222222, 1.0, 0.7154217551831898]"
204,204,0.7341664299914825,"[0, 1.0594444444444444, 1.0, 0.9886111111111111, 1.0, 0.7341664299914825]"
205,205,0.7404146549275801,"[0, 1.0533333333333335, 1.0, 0.9891666666666666, 1.0, 0.7404146549275801]"
206,206,0.700795228628234,"[0, 1.0597222222222222, 1.0, 0.9863888888888889, 1.0, 0.700795228628234]"
207,207,0.7097415506958278,"[0, 1.0627777777777778, 1.0, 0.9869444444444444, 1.0, 0.7097415506958278]"
208,208,0.7071854586765163,"[0, 1.0638888888888889, 1.0, 0.9869444444444444, 1.0, 0.7071854586765163]"
209,209,0.7147117296222696,"[0, 1.063611111111111, 1.0, 0.9872222222222222, 1.0, 0.7147117296222696]"
210,210,0.7330303890940115,"[0, 1.0547222222222223, 1.0, 0.9888888888888888, 1.0, 0.7330303890940115]"
211,211,0.7382845782448193,"[0, 1.0527777777777778, 1.0, 0.9891666666666666, 1.0, 0.7382845782448193]"
212,212,0.6912808861119011,"[0, 1.0702777777777777, 1.0, 0.9858333333333332, 1.0, 0.6912808861119011]"
213,213,0.7053393922181215,"[0, 1.0633333333333335, 1.0, 0.9866666666666666, 1.0, 0.7053393922181215]"
214,214,0.7071854586765163,"[0, 1.0619444444444446, 1.0, 0.9869444444444444, 1.0, 0.7071854586765163]"
215,215,0.7107355864811176,"[0, 1.061388888888889, 1.0, 0.9869444444444444, 1.0, 0.7107355864811176]"
216,216,0.7282022152797545,"[0, 1.0544444444444445, 1.0, 0.9883333333333333, 1.0, 0.7282022152797545]"
217,217,0.7151377449588203,"[0, 1.0525, 1.0, 0.9866666666666666, 1.0, 0.7151377449588203]"
218,218,0.6949730190286871,"[0, 1.0641666666666667, 1.0, 0.986111111111111, 1.0, 0.6949730190286871]"
219,219,0.6935529679068466,"[0, 1.0627777777777778, 1.0, 0.986111111111111, 1.0, 0.6935529679068466]"
220,220,0.6915648963362706,"[0, 1.0638888888888889, 1.0, 0.9858333333333332, 1.0, 0.6915648963362706]"
221,221,0.7036353308719114,"[0, 1.0586111111111112, 1.0, 0.9866666666666666, 1.0, 0.7036353308719114]"
222,222,0.6897188298778758,"[0, 1.0630555555555556, 1.0, 0.9858333333333332, 1.0, 0.6897188298778758]"
223,223,0.7050553819937555,"[0, 1.0569444444444445, 1.0, 0.9866666666666666, 1.0, 0.7050553819937555]"
224,224,0.7042033513206505,"[0, 1.0638888888888889, 1.0, 0.9866666666666666, 1.0, 0.7042033513206505]"
225,225,0.6905708605509808,"[0, 1.0591666666666668, 1.0, 0.9858333333333332, 1.0, 0.6905708605509808]"
226,226,0.7000852030673137,"[0, 1.0569444444444445, 1.0, 0.9863888888888889, 1.0, 0.7000852030673137]"
227,227,0.6854586765123578,"[0, 1.0638888888888889, 1.0, 0.9855555555555555, 1.0, 0.6854586765123578]"
